id_player,id_team,round,position,cartola_price,cartola_score,cartola_price_update,cartola_score_mean,goal_assistance,scored_goals,saved_kicks,wrong_kicks,crossbar_kicks,wrong_passes,missed_penalties,stolen_ball,difficult_gk_saves,gk_penalty_saves,conceded_goals
107798,284,21,mei,0.79,0.0,0.0,0.15,,,,,,2.0,,,,,
92630,280,21,ata,14.83,8.8,1.04,5.51,1.0,8.0,11.0,14.0,,172.0,1.0,29.0,,,
68832,292,21,mei,3.51,0.6,0.07,1.76,,,6.0,2.0,,46.0,,26.0,,,
109963,275,21,lat,2.27,7.8,1.49,3.35,,,,,,13.0,,4.0,,,
102506,267,21,mei,6.2,8.9,1.95,3.93,2.0,,,1.0,,15.0,,2.0,,,
88072,290,21,ata,4.33,2.2,-0.13,2.33,,,4.0,5.0,1.0,37.0,,15.0,,,
107370,266,21,lat,1.02,0.0,0.0,1.0,,,,,,,,1.0,,,
107109,262,21,mei,1.94,0.0,0.0,5.2,,,,,1.0,3.0,,6.0,,,
110415,277,21,ata,0.98,0.0,0.0,0.35,,,,,,3.0,,1.0,,,
87273,267,21,mei,3.79,0.0,0.0,1.25,1.0,,1.0,6.0,,50.0,,10.0,,,
101796,276,21,ata,3.01,0.0,0.0,1.93,1.0,,,,,2.0,,2.0,,,
80363,290,21,mei,4.94,-0.4,-0.62,1.86,,,1.0,,,34.0,,15.0,,,
98289,284,21,ata,10.84,9.8,1.56,5.97,1.0,1.0,,1.0,1.0,4.0,,3.0,,,
92193,293,21,mei,3.59,0.0,0.0,1.95,,1.0,3.0,3.0,1.0,29.0,,1.0,,,
84428,354,21,mei,12.22,0.1,-0.82,4.73,3.0,1.0,9.0,15.0,1.0,117.0,,58.0,,,
109497,277,21,ata,0.97,0.0,0.04,0.84,,1.0,1.0,1.0,,4.0,,1.0,,,
100079,282,21,mei,9.91,2.4,-0.98,2.9,,1.0,1.0,1.0,,9.0,,4.0,,,
69102,282,21,ata,9.74,5.3,-0.26,5.3,1.0,,,2.0,,8.0,,1.0,,,
107231,275,21,mei,1.63,0.0,0.0,1.0,,,1.0,4.0,,14.0,,10.0,,,
107110,262,21,zag,3.75,-2.6,-1.47,3.55,1.0,1.0,1.0,2.0,,25.0,,14.0,,,
109668,263,21,lat,2.01,0.0,0.0,4.9,,,,,,1.0,,,,,
38311,292,21,mei,3.71,0.0,-0.15,0.4,,,,,,9.0,,2.0,,,
106299,280,21,zag,3.36,0.0,0.0,1.22,,,,1.0,,17.0,,9.0,,,
90444,285,21,lat,10.51,0.0,0.0,3.39,2.0,,1.0,5.0,,141.0,,33.0,,,
37866,267,21,lat,6.07,6.4,2.15,2.37,,1.0,1.0,1.0,,34.0,,2.0,,,
89343,292,21,lat,4.67,1.8,-1.03,3.92,,,1.0,2.0,,22.0,,6.0,,,
88307,292,21,mei,2.3,0.0,0.0,-0.1,,,,,,1.0,,,,,
101290,284,21,ata,4.78,0.0,0.0,3.5,,2.0,2.0,4.0,,11.0,,5.0,,,
78580,264,21,ata,4.6,1.9,-0.4,1.9,,,,,,1.0,,2.0,,,
107107,262,21,zag,0.78,0.0,0.0,-0.35,,,,,,7.0,,2.0,,,
72772,275,21,ata,11.67,0.0,0.0,4.57,1.0,7.0,3.0,6.0,,38.0,1.0,10.0,,,
107760,285,21,ata,1.45,0.0,0.0,1.5,,,,3.0,,4.0,,,,,
101413,267,21,ata,4.31,1.3,-0.02,1.2,,,1.0,,,3.0,,2.0,,,
110373,290,21,ata,0.77,0.0,0.0,-3.0,,,,,,,,,,,
104420,293,21,ata,2.05,0.4,-0.27,0.97,,,,1.0,,19.0,,5.0,,,
50446,290,21,zag,2.8,-2.4,-1.02,-1.35,,,,,,7.0,,,,,
106082,292,21,lat,2.96,0.0,0.0,4.6,,,,,,9.0,,1.0,,,
91502,294,21,ata,6.01,0.0,0.0,-0.4,,,,,,8.0,,,,,
73624,263,21,mei,2.48,0.6,-0.13,0.93,,,,1.0,,10.0,,3.0,,,
